,Tweet Posted Time (UTC),Tweet Content,Tweet Location
59,2020-03-28,If this difficult time doesn't make us realise who we are  we deserve Corona!!! #HumanRights #stopracism #coronavirusindia #IndiaFightsCorona https://www.instagram.com/p/B-CT6xHggDS/?igshid=1erqe0vqhi8x7,Goa
60,2020-03-28,@narendramodi Donating little bit from my savings for the fight of my country towards CORONAVIRUS... – at South-Bopal,Gujarat
61,2020-03-28,Thanks to @RNTata2000 @TataCompanies #IndiaFightsCorona @narendramodi  it's high to for industries to contribute from open hands in @PMOIndia fund for #COVID19 ,Gujarat
62,2020-03-28,In these situations of Covid19 people can see others in problems but cannot see them dying. It would be very scary for everyone to see people like USA and China dying,Gujarat
63,2020-03-28,In these situations of Covid19 people can see others in problems but cannot see them dying. It would be very scary for everyone to see people like USA and China dying. #NarendraModi #Yogiadityanath #aajtak,Gujarat
64,2020-03-28,Thanks to @RNTata2000 @TataCompanies #IndiaFightsCorona @narendramodi  it's high to for industries to contribute from open hands in @PMOIndia fund for #COVID19,Gujarat
65,2020-03-28,#Covid_19 seen some tweet that @akshaykumar donated 25 cr in PM fund but what hv khan done  Pl refrain from such comment  this is emergency situation  we have to fight it together  after that we can raise issue but till14 Let's keep bharat first  @narendramodi #IndiaFightsCorona,Gujarat
66,2020-03-28,Forced Isolation is nothing but bad solitude. #QurantineLife #CoronaLockdown #IndiaFightsCorona #Selfisolationgame – at IIM Ahmedabad,Gujarat
67,2020-03-28,Breaking: Total number of Coronavirus cases in Pakistan crosses 1500.,Haryana
68,2020-03-28,So this Corona Virus has made Chinese people stand against their own people. Very disturbing! This also highlights that people there don't want to trust the CCP regime and still fear another outbreak in the region. ,Haryana
69,2020-03-28,No excitment of weekend first time ever #coronavirus #Covid19India #covid19,Haryana
70,2020-03-28,Dear Sir @narendramodi this is an awesome idea  it can be very useful tool to fight against corona virus. plz watch.@drharshvardhan @PMOIndia @MoHFW_INDIA https://www.facebook.com/550735622047818/posts/916630435458333/ #IndiaFightAgainstCorona,Haryana
71,2020-03-28,#stay #home #stay #safe #coronavirus #lockdown #corona #virus #covid_19 #w2shub #karnal #haryana #india #picoftheday #photooftheday #instapic #followtrain #followers #world @W2S-Hub https://www.instagram.com/p/B-QvTGBA4bI/?igshid=7kuvicnu3j9q,Haryana
72,2020-03-28,@ReallySwara  @kanhaiyakumar and @UmarKhalidJNU  you are missing from the Hospitals. You must reach out to the patients of COVID19 pandemic. Set example of your patriotism and distribute masks  medicines. ,Haryana
73,2020-03-28,No excitment of weekend first time ever #coronavirus #Covid19India #covid19,Haryana
74,2020-03-28,I am not earning very well. But anything for country . Here is very little contribution of 2000.00 and very huge swear and pledge to fight this unfortunate disease. We are with you in this fight. #PMCARES #PMReliefFund #Contributed #IndiaFightsCorona @akshaykumar,Haryana
75,2020-03-28,Dear Sir @narendramodi this is an awesome idea  it can be very useful tool to fight against corona virus. plz watch.@drharshvardhan @PMOIndia @MoHFW_INDIA https://www.facebook.com/550735622047818/posts/916630435458333/ #IndiaFightAgainstCorona,Haryana
76,2020-03-28,#GodIsOne but his names are many  in the same way Human is one but his religion and castes are different. So  do not fight over religion and caste just be a human. This a crucial time where world is on danger due to #CoronaVirus. So  do not fight over religion.#BehumanSaveWorld .,Jharkhand
77,2020-03-28,After watching situation at annand vihar station I must say @ArvindKejriwal sir you put india towards third stage of corona virus. @narendramodi. @KapilMishra_IND @RahulGandhi,Jharkhand
78,2020-03-28,Its vry proud 4 me 2 contribute a small amount to d Chief Minister's #Relief Fund 2 provide help 2 the needy people in this difficult situation along with my duty.I stand wid our respected @HemantSorenJMM sir n d people in dis fight against #coronavirus #StayHomeSaveLifes ,Jharkhand
79,2020-03-28,Juss a little Donation For @narendramodi ji for #PMCARES to Fight Corona Virus please accept the little Donation हम सब आपके साथ हैं सर @PhonePe_ #IndiaFightsCorona,Jharkhand
80,2020-03-28,Like a team in the game of cricket. I am my family will be stay home together to win the battle against #CoronaVirus. Will you do the same win the game for your family and fellow countrymen? #Bestrong #Beunite #FightCronavirus #21daysLockdownIndia #21daychallenge,Jharkhand
81,2020-03-28,We have rookies who are involved in Cricket who knows what could have happened. But his prediction about Coronavirus Pendemic is very correct,Jharkhand
82,2020-03-28,Yes this is @JharkhandPolice putting himself in risk is deployed on the roads the faces of Jharkhand Polices brave policemen who are doing their duty between the danger about the #coronavirus It is an example of human condolences that can shake the humanity of anyone @PMOIndia,Jharkhand
83,2020-03-28,#Lockdown21days   be safe at your home ###India fights Corona virus ####covid-19..... ,Jharkhand
84,2020-03-28,Honorable Prime Minister @narendramodi Ji   I'm common man and I am giving my small support  I am able to give only this much  I am giving my nominal contribution in times of trouble in the country  #PMCaresFund #COVID19 #IndiaFightsCorona,Jharkhand
85,2020-03-28,My Secret Terrius a South Korean webseries broadcasted on #Netflix in 2018 clearly stated about this virus #COVID19 or #CORONA . China altered a normal influenza virus into a mutant virus and it's a bloody lethal weapon against competing economies.#BloodyChina #CoronaLockdown,Jharkhand
86,2020-03-28,@RanjanGogoii Dear Children. Let's hit the #Covid19 #lockdown with positivity of thoughts and creativity. #StayhomeStaysafe and Stay Creative. #DigitalArtFest for students of Class 1 to 6. आप घर मे रहे #21DaysChallenge @HemantSorenJMM @DC_Khunti @drharshvardhan @PMOIndia,Jharkhand
87,2020-03-28,Dear Children. Let's hit the #Covid19 #lockdown with positivity of thoughts and creativity. #StayhomeStaysafe and Stay Creative. #DigitalArtFest for students of Class 1 to 6. Draw / Paint on given topics and send a scan / photo of your artwork. ,Jharkhand
88,2020-03-28,Honorable Prime Minister @narendramodi Ji   I'm common man and I am giving my small support  I am able to give only this much  I am giving my nominal contribution in times of trouble in the country  #PMCaresFund #COVID19 #IndiaFightsCorona ,Jharkhand
89,2020-03-28,Juss a little Donation For @narendramodi ji for #PMCARES to Fight Corona Virus please accept the little Donation हम सब आपके साथ हैं सर @PhonePe_ #IndiaFightsCorona ,Jharkhand
90,2020-03-28,#Lockdown21days   be safe at your home ###India fights Corona virus ####covid-19..... ,Jharkhand
91,2020-03-28,God save our earth from this scourge #CoronaVirus #Covid19 #Covid_19 #StayAtHomeSaveLives #COVIDIOTS #CoronavirusLockdown #StayHome #StayHomeStaySafe #PhysicalDistancing #SocialDistancing #Lockdown,Karnataka
92,2020-03-28,Stay at home  stay alive. Today's live count. #CoronaVirus #Covid19 #Covid_19 #StayAtHomeSaveLives #COVIDIOTS #CoronavirusLockdown #StayHome #StayHomeStaySafe #PhysicalDistancing #SocialDistancing #Lockdown,Karnataka
93,2020-03-28,God save our earth from this scourge #CoronaVirus #Covid19 #Covid_19 #StayAtHomeSaveLives #COVIDIOTS #CoronavirusLockdown #StayHome #StayHomeStaySafe #PhysicalDistancing #SocialDistancing #Lockdown,Karnataka
94,2020-03-28,Stay at home  stay alive. Today's live count. #CoronaVirus #Covid19 #Covid_19 #StayAtHomeSaveLives #COVIDIOTS #CoronavirusLockdown #StayHome #StayHomeStaySafe #PhysicalDistancing #SocialDistancing #Lockdown,Karnataka
95,2020-03-28,#Quarantine dairies Did some online certification courses while staying at home. #StayHomeIndia #StayHomeStaySafe #CoronaUpdate #WHO #SaturdayThoughts #StayHomeSaveLives #CoronaVirusUpdate #IndiaFightsCorona #COVID19Outbreak,Maharashtra
96,2020-03-28,"While we should be battling Covid19 as a nation  North Easterners in different metros of India are labelled ""Corona"" and subjected to racial abuse. Union Home Ministry has done nothing to address this racial prejudice at this crucial hour.",Meghalaya
97,2020-03-28,HPCL Retail Outlet  HP Sonamura of Shipahijala district  Tripura extending help to needy people by distribution of daily essential cooking items and face masks. #IndiaFightsCorona #FightAgainstCOVID19 #HPCL,Meghalaya
98,2020-03-28,Are you watching @sonakshisinha ? #Ramayan #DDNational #StayHomeStaySafe #StayHomeIndia #IndiaFightsCorona ,Meghalaya
99,2020-03-28,@ZakaWaqar 7. Italy  Iran  South Koeran Banks allowed Bitcoin to avoid corona virus through notes  so we their ppl can trade with the world from their home but Pak Govt. is not understanding #WaqarZaka   why? 8. Fake currency notes fraud,Punjab
100,2020-03-28,Italian Association of Doctors has confirmed that all 51 doctors diagnosed positive of #coronavirus have died. None of them managed to survived. This is beyond scary. The #COVID19 wrath is taking no stop in #Italy and around the world. Stay safe and home everyone!,Punjab
101,2020-03-28,If the corona virus doesnt take you out can I?,Punjab
102,2020-03-28,My Father has a PhD in coronavirus from whatsapp university,Punjab
103,2020-03-28,Faisal Edhi claims Edhi Foundation burying 6-7 #coronavirus victims daily in #Punjab  contamination cases have gone up across #Pakistan in recent days. @pid_gov @GOPunjabPK @WHO @CMPunjabPK @UsmanAKBuzdar #PMReliefFund,Punjab
104,2020-03-28,In another news  Engro cuts urea prices by Rs 240 amid Coronavirus crisis. This gives farmers a relief of Rs 28 billion through urea price reduction.,Punjab
105,2020-03-28,A video is doing rounds on social media platforms showing dead bodies being dumped into mass graves as Italy's Coronavirus death toll is aggressively rising. My dear netizens! Sorry to break it to you but that video clip in reality is an extract from a 2007 movie named Pandemic.,Punjab
106,2020-03-28,How are you spending your time these days of #CoronaVirusPandemic #Lockdown? #CoronavirusOutbreak #CoronaVirus #CoronaInPakistan #LockDownPakistan #CoronaUpdate #Covid_19,Punjab
107,2020-03-28,The strong emphasis on testing to avoid catastrophic no of deaths appear to be at the top of lessons the fight against Coronavirus has taught. With limited no of kits  Pakistan unfortunately can’t go for aggressive testing. Firefighting doesn’t really work!,Punjab
108,2020-03-28,Beauty parlour shut down due to corona virus.. Girls.. ,Punjab
109,2020-03-28,The Science Behind the Coronavirus  the complete series https://youtu.be/ddlRvqhGdPk via @YouTube,Punjab
110,2020-03-28,FREE 2 hours #DigitalMarketingWorkshop ! #StayHome &amp; #Learn #DigitalMarketing for FREE ! Video: https://youtu.be/UYZo3q9dd-I #StayAtHomeAndStaySafe #CoronaUpdate #SaturdayMotivation #StayHomeSaveLives #CoronaInPakistan #CoronaVirus #COVID19 #DM #News #Workshop #Udemy #Training,Punjab
111,2020-03-28,During #CoronaPandemic  almost everybody is staying at home. #StayHome and Learn Digital Marketing for FREE by visiting by https://youtu.be/UYZo3q9dd-I #StayAtHomeAndStaySafe #CoronaUpdate #SaturdayMotivation #StayHomeSaveLives #CoronaInPakistan #CoronaVirus #COVID19 #DM,Punjab
112,2020-03-28,The worst thing than CORONAVIRUS in Pakistan is POVERTY &amp; UNREST &amp; UNCERTAINTY ,Punjab
113,2020-03-28,Coronavirus is not merely highly infectious it is also unimaginably painful in its severe form. Be alert  be safe  be well.,Punjab
114,2020-03-28,BBC News - Coronavirus cradle Wuhan partly reopens after lockdown https://www.bbc.co.uk/news/world-asia-china-52075022,Punjab
115,2020-03-28,“Press needs to shutup and let medical experts speak on #Coronavirus” ,Punjab
116,2020-03-28,is coronavirus a bioweapon or not? drop your views.,Punjab
117,2020-03-28,Saddened on the demise of former squash legend Azam khan.4 times british open champion died at the age of 95 in England because of coronavirus. May his soul rest in peace.He won the British open for four consecutive years from 1959-1962.,Punjab
118,2020-03-28,Punjab Health Minister @Dr_YasminRashid tells me on @sawaalwithamber that there are 530 Corona virus positive cases in Punjab and 12 000 have been tested so far. NIH figures say 3 310 have been tested in Punjab. On air @8.03 PM tonight.,Punjab
119,2020-03-28,"IT SEEMS AS ALL THE ""PASSENGERS "" ARE ??? ""CORONAVIRUS"" PROOF !!! OR NOT AFFECTED BY ""MEDIA VIRUS "" MAY ALLAH SAVE EVERYBODY  FROM ALL DISASTROUS ELEMENTS   AND ARRIVE SAFELY AT THEIR RESPECTIVE DESTINATIONS!!! AMEEN !!!",Punjab
120,2020-03-28,Inhale #Steam to fight #Coronavirus #COVID #SARS................,Punjab
121,2020-03-28,Look at the Itany and USA Total no. of Coronavirus cases: (1st March - 27th March) #CoronaUpdate #CoronaLockdown #CoronavirusOutbreak #CoronisedWorld_Media_IOK,Punjab
122,2020-03-28,Coronavirus made me realize I took normal life for granted like I just want everything normal again so bad #CoronaLockdown #StayAtHomeAndStaySafe,Punjab
123,2020-03-28,Cure to CoronaVirus doesn't exist on this planet. End of story.,Punjab
124,2020-03-28,LIVE Coronavirus (COVID-19) pandemic #coronavirusinpakistan #CoronaLockdown #CoronaUpdate #CoronavirusOutbreak #COVID19,Punjab
125,2020-03-28,#CoronaVirus. @zfrmrza you need to inform people of the facts as told by @WHO on their website. Unfortunately  houses are being sealed  and people are acting as if it’s plague. Agreed  it is contagious  but  only if the droplets come in contact  the virus doesn’t travel on skin,Punjab
126,2020-03-28,PIEDMC estates are conducting Anti-Corona Virus drive through chlorinated water spray at QIE. #StaySafe #LetsfightCoronaTogether #PIEDMC #BOM #QIE,Punjab
127,2020-03-28,Corona virus doesn't harm you Until you allow it to Doctors and forces fight for you So you better help them too. Stay home Stay safe #NationSalutesAntogonistOfCovid19,Punjab
128,2020-03-28,200 Chinese Doctors Reached Islamabad to Fight Against Coronavirus China Never Disappoint Pakistan #NationSalutesAntagonistsOfCovid19,Punjab
129,2020-03-28,1/2 When the Coronavirus emergency ends  do a good deed for the rest of 2020-2021 Spend your vacation in Pakistan Eat in your home town restaurant Sleep in pakistani hotel and motels Visit Pakistani tourist places Buy Pakistani products or buy from Pakistani stores #CoronaUpdate,Punjab
130,2020-03-28,Wow congrats no doubt u are brilliant and mature journalist !!keep it up and stay safe from Corona virus ,Punjab
131,2020-03-28,A rich country with few #coronavirus cases should be willing to send precious equipment to a poorer country with many cases  trusting that if and when it subsequently needs help  other countries will come to its assistance. https://www.ft.com/content/19d90308-6858-11ea-a3c9-1fe6fedcca75 #CoronaUpdate @javerias,Punjab
132,2020-03-28,A thoughtful mesaage from a #youth! 8 class mein Earth quake 10 class mein war threats University mein Double sawari band Job time pa Corona Virus Sala Shadi ka waqt DAJJAL aa jae ga. ,Punjab
133,2020-03-28,Even in the time of Corona virus  Pakistani media toeing self centered agendas  n trying to black mail the PM IK. ,Punjab
134,2020-03-28,SS to IMK: Why don't you take advice from me about Corona Virus?? IMK: Ok  Please advise me. SS: If you want to deal with Corona  Release Mir Shakil !! ,Punjab
135,2020-03-28,Total no. of Coronavirus cases: (1st March - 27th March) Keep an eye for USA (in blue) - see how Trump triggered a nationwide spike after ignoring early warnings. #CoronaUpdate #NationSalutesCoronaFighters,Punjab
136,2020-03-28,https://www.aljazeera.com/news/2020/01/countries-confirmed-cases-coronavirus-200125070959786.html world corona virus report,Punjab
137,2020-03-28,Royal Palace confirms Queen Elizabeth tests positive for coronavirus ,Punjab
138,2020-03-28,KARACHI: As many as 152 new cases of coronavirus appeared across Pakistan taking the tally to 1 331 as Sindh has 440  Punjab 448  Balochistan 131  KP 180  Islamabad 27  Gilgit-Baltistan 103. ,Punjab
139,2020-03-28,If you want our doctors to fight corona  give them disposable protection coverall or hazmat suits instead of fake salutes. We need to put a pause on this drama. #CoronaVirus #Covid19 #CoronaInPakistan,Punjab
140,2020-03-28,How has (Coronavirus) changed your perspective on #life? #Coronavirus #COVID2019 #CoronaLockdown #CoronavirusOutbreak #LockdownWithoutPlan #CoronaVirusPakistan #coronavirusinpakistan #CoronaVirusUpdates,Punjab
141,2020-03-28,In current situation of corona virus  PM Imran Khan should take dictation from CM sindh who is very impressive so far. #ImranKhan #Coronavirusinpakistan,Punjab
142,2020-03-28,#Coronavirus_USA Today. Yesterday.,Punjab
143,2020-03-28,Bill Gates makes prediction about when coronavirus will peak ,Punjab
144,2020-03-28,BBC News - Coronavirus: Trump orders 'time wasting' General Motors to make ventilators ,Punjab
145,2020-03-28,BBC News - Coronavirus: Russia sees no epidemic but starts shutdown ,Punjab
146,2020-03-28,High time that all private TV Channels should be shut down to save the public from verbal Coronavirus of the stupid anchors. Only PTV should be allowed to operate. Private channels are adding salt to injury.,Punjab
147,2020-03-28,Work from home guidelines for the ongoing Corona Virus COVID-19 pandemic ,Punjab
148,2020-03-28, Which one will you do first ? #coronavirus #pakistan #lahore #karachi #gwadar #gwader #learn #new #skills ,Punjab
149,2020-03-28,SVP PML(N)  my leader & Mentor Sardar Mehtab Abbasi Sahab message regarding corona virus ,Punjab
150,2020-03-28,Mufti Munibur Rehman led crowd of clerics yesterday held Juma Congregauion in mosques throuout country including largest mosque in Islamabad in a ' dare devilsh' manner risking lives of lacs of pplwho might have affected by sitting in close proximity transmitting Coronavirus.,Punjab
151,2020-03-28,Coronavirus inflicts Rs30bn loss on Pakistan’s economy https://profit.pakistantoday.com.pk/2020/03/27/coronavirus-inflicts-rs30bn-loss-on-pakistans-economy/ via @Profitpk,Punjab
152,2020-03-28,#Italy records 969 new coronavirus deaths  its highest daily figure  bringing the total deaths in the country to 9 134 #coronavirusinpakistan,Punjab
153,2020-03-28,Islamabad's Air quality is at its best now. Clean  pure and full of hope. @Islamabad_Air #Islamabad #Pakistan #COVID19 #CoronaUpdate #CoronaLockdown #coronaPakistan #AirQuality #AQI,Punjab
154,2020-03-28,This is how analytics visualises the Data. Can M/o nhs Islamabad upload such an analysis; district wise to identify hotspots of the #COVID19 infection ,Punjab
